Instructor,Rating,Would Take Again,Difficulty,Tags
Kristin Arcidiacono,4.9/5,100%,1.9,"Caring, Skip class? You won't pass., Gives good feedback, Graded by few things, Participation matters"
Patricia Isabel Huerta,4.4/5,100%,1.5,"Gives good feedback, Participation matters, Group projects, Caring, Respected"
Jacob Andrew Zellmer,4/5,80%,2,"EXTRA CREDIT, Caring, Get ready to read, Gives good feedback, Respected"
Helen A.,4.1/5,63%,3.4,"Clear grading criteria, Lecture heavy, Tough grader, Skip class? You won't pass., Amazing lectures"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Kaisi Peng,2.6/5,N/A,3,"Tough grader, Tests are tough, Get ready to read, Participation matters, Skip class? You won't pass."
Kuiyi Shen,3.7/5,85%,1.9,"EXTRA CREDIT, Lecture heavy, Clear grading criteria, Skip class? You won't pass., Graded by few things"
Jennifer S Munday,3/5,50%,2,"Group projects, Caring, Lecture heavy"
Monique L. Wonderly,4/5,67%,2.8,"EXTRA CREDIT, Amazing lectures, Clear grading criteria, Inspirational, Caring"
Philbert S Tsai,3.9/5,75%,3.2,"Caring, Accessible outside class, Respected, Amazing lectures, Lots of homework"
Kenneth J. H. Loh,4.4/5,N/A,3.4,"Tough grader, Tests are tough, Amazing lectures, Get ready to read, Gives good feedback"
Alex M Frano Pereira,2/5,0%,4.5,"Skip class? You won't pass., Accessible outside class"
Jessica Erin Gambel,4.4/5,91%,2.6,"EXTRA CREDIT, Clear grading criteria, Caring, Amazing lectures, Graded by few things"
Jonathan Charles Reimer,5/5,100%,2,"Skip class? You won't pass., EXTRA CREDIT, Lecture heavy"
Eliah Sea,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Tonia Floramaria Guida,4.8/5,100%,1.8,"Get ready to read, Participation matters, Amazing lectures, Clear grading criteria, Caring"
Eric John Bakovic,4/5,100%,3,"Lots of homework, Get ready to read, Participation matters, Clear grading criteria, Hilarious"
Galia T Debelouchina,4.2/5,85%,3.4,"Caring, Respected, Accessible outside class, Participation matters, EXTRA CREDIT"
Kirk Douglas Rogers,3/5,100%,3.1,"Clear grading criteria, Hilarious, Caring, Test heavy, Participation matters"
Soydan Alihan Polat,5/5,100%,4,"Group projects, Clear grading criteria, Gives good feedback, Lots of homework, Lecture heavy"
Christopher S. Gopal,3/5,100%,3.1,"Respected, Lecture heavy, Graded by few things, Group projects, Caring"
Khoa Dang Tran,2/5,100%,3.8,"Lecture heavy, Get ready to read, Clear grading criteria, Gives good feedback, Lots of homework"
Neal W. Driscoll,4.4/5,100%,1.9,"Hilarious, Amazing lectures, Would take again, Beware of pop quizzes, Caring"
Artemisa Marie Clark,1.5/5,0%,3.5,"Get ready to read, Lots of homework, Lecture heavy"
Dhananjaya Mukku,3/5,0%,4.5,"Lecture heavy, Inspirational, Respected, Graded by few things"
Jiri Lebl,2.6/5,0%,3.8,"Tough grader, Test heavy, Lots of homework, EXTRA CREDIT, Lecture heavy"
Katharine I Lacefield,4.6/5,94%,2.6,"Clear grading criteria, EXTRA CREDIT, Caring, Accessible outside class, Amazing lectures"
Denise Demetriou,3.6/5,62%,3.3,"Get ready to read, Caring, Participation matters, Gives good feedback, Respected"
Jingbo Shang,4/5,89%,2.9,"Caring, EXTRA CREDIT, Accessible outside class, Clear grading criteria, Gives good feedback"
Virginia Arreola,5/5,100%,2,"Get ready to read, Gives good feedback, Accessible outside class"
Dylan Paul Gilbert,5/5,97%,3.4,"Accessible outside class, Amazing lectures, Caring, Clear grading criteria, EXTRA CREDIT"
Jonathan Kyle,4.4/5,N/A,2.3,"Tough grader, Participation matters, Gives good feedback, Hilarious, Respected"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Shana R Cohen,2/5,N/A,4,"Get ready to read, Group projects"
Emily Allen,4.6/5,N/A,3.2,None
Natalye Joann Pass,2.9/5,50%,4,"Get ready to read, Lots of homework, Tough grader, Amazing lectures, Participation matters"
Stefan Leutgeb,2.9/5,37%,3.3,"Get ready to read, EXTRA CREDIT, Participation matters, Skip class? You won't pass., Clear grading criteria"
Brinda Kanti Rana,3.6/5,84%,3.2,"Group projects, EXTRA CREDIT, Lots of homework, Caring, Test heavy"
Jennifer M. Chang,1/5,0%,5,"Lecture heavy, Tough grader, Participation matters, Lots of homework, Test heavy"
Jacques Allan Verstraete,4.4/5,78%,2.6,"Amazing lectures, Clear grading criteria, Caring, Get ready to read, Respected"
Eric Leonard Michelsen,2.5/5,62%,3.9,"Test heavy, Tough grader, Participation matters, Lecture heavy, Graded by few things"
Kenneth S Vecchio,2.2/5,N/A,3.6,None
Hadi Esmaeilzadeh,5/5,100%,4,"Amazing lectures, Clear grading criteria, Respected"
Donghyung Lee,3.8/5,N/A,2.2,None
Julius Kuti,1.5/5,0%,4,"Get ready to read, Graded by few things"
Mark Paddock,3.6/5,60%,2.9,"Lots of homework, Caring, EXTRA CREDIT, Participation matters, Get ready to read"
Kristy Nicole,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Steven P Dow,3.1/5,47%,3.7,"Graded by few things, Lecture heavy, Skip class? You won't pass., Tough grader, Test heavy"
Kathleen Garcia,N/A,N/A,N/A,
James Alexander Ivey,3.5/5,50%,3.7,"Lecture heavy, Skip class? You won't pass., Tough grader, Amazing lectures, Clear grading criteria"
Jose Restrepo,2.7/5,50%,3.5,"Caring, Tough grader, Get ready to read, Skip class? You won't pass., Group projects"
Ping Liu,N/A,N/A,N/A,
Carlos Anthony Vasquez,5/5,100%,2,"Caring, EXTRA CREDIT, Amazing lectures, Inspirational, Accessible outside class"
Daniel Reuben Copeland,3/5,50%,4,"Lots of homework, Test heavy, Amazing lectures, Clear grading criteria, Graded by few things"
Andreas Jerry Andersson,3/5,N/A,4,None
Joseph M. Oconnor,3.6/5,45%,3.6,"Tough grader, Skip class? You won't pass., Test heavy, Get ready to read, Graded by few things"
David A Frederick,4.7/5,96%,3.7,"Gives good feedback, Group projects, Respected, Hilarious, Amazing lectures"
Kim C. Walsh,4/5,100%,2.9,"Participation matters, Gives good feedback, Skip class? You won't pass., EXTRA CREDIT, Inspirational"
Simpson Joseph,3.1/5,29%,3.5,"EXTRA CREDIT, Tough grader, Participation matters, Caring, Clear grading criteria"
Michael Borkowski,3/5,28%,4.3,"Get ready to read, Test heavy, Lecture heavy, Skip class? You won't pass., Tough grader"
Yu-Hwa Lo,1.6/5,0%,3.8,Graded by few things
Cynthia Vazquez,3.2/5,50%,3.3,"Tough grader, Clear grading criteria, Lots of homework, Caring, Get ready to read"
Paul Pickowicz,4.7/5,100%,3,"Get ready to read, Amazing lectures"
Christopher P.,5/5,100%,1,"Participation matters, Amazing lectures, Clear grading criteria"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Christian Todd,4.2/5,N/A,4,"Skip class? You won't pass., Would take again, Caring, Tough grader, Clear grading criteria"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Hung-Wei Tseng,N/A,N/A,N/A,
Marco Wilkinson,4/5,75%,3,"Get ready to read, Participation matters, Skip class? You won't pass., Gives good feedback"
Kyle James Angle,5/5,100%,2,"Hilarious, Caring, Respected"
Bronwyn Nicole Kaiser,5/5,100%,2.7,"Get ready to read, Group projects, Graded by few things"
Susan Alexandra,N/A,N/A,N/A,
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Sara Johnson,N/A,N/A,N/A,
Dayna Kalleres,3.3/5,58%,2.3,"Get ready to read, Tough grader, Caring, EXTRA CREDIT, Gives good feedback"
Heather J. Henter,3/5,N/A,3.4,None
Steven C Constable,2/5,0%,5,"Get ready to read, Lots of homework, Graded by few things"
Sandra Foster-King,3.6/5,100%,2.6,"Respected, Participation matters, Group projects, Gives good feedback, Hilarious"
Aspen Taylor Reese,4.8/5,100%,3.4,"Amazing lectures, Clear grading criteria, Lots of homework, Lecture heavy, Get ready to read"
Emily Kara,4.1/5,50%,3.3,"Gives good feedback, Participation matters, Amazing lectures, Lots of homework, Respected"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Seana M Coulson,3.2/5,67%,3.3,"Lots of homework, EXTRA CREDIT, Clear grading criteria, Gives good feedback, Caring"
Yiwen Wang,N/A,N/A,N/A,
Andrew S Saad,3.7/5,70%,3.5,"Skip class? You won't pass., Respected, Participation matters, Inspirational, Caring"
Nan Hao,4.9/5,87%,3.5,"Amazing lectures, Clear grading criteria, Test heavy, Graded by few things, Caring"
Nathaniel Atholl Greely,5/5,N/A,1,None
Daphne Taylor-Garcia,4/5,N/A,2.3,"Gives good feedback, Get ready to read, Participation matters, Would take again, Caring"
Laurel D,5/5,100%,1.6,"Participation matters, EXTRA CREDIT, Clear grading criteria, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Richard Geiger,5/5,N/A,1,None
Xinyu Zhang,4.5/5,100%,3.3,"Gives good feedback, Inspirational, Respected"
Behrouz Touri,2.4/5,50%,4.4,"Tough grader, Test heavy, Caring, Lecture heavy, Graded by few things"
Shaochen Chen,3.3/5,100%,3,"Participation matters, Group projects, Inspirational, Caring"
Philip E.,4/5,67%,3.7,"EXTRA CREDIT, Caring, Gives good feedback, Lots of homework, Tough grader"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Brian Kha Tran,5/5,100%,2.9,"Accessible outside class, Caring, Amazing lectures, Respected, Clear grading criteria"
Elina I Zuniga,3.8/5,100%,3.5,"EXTRA CREDIT, Lecture heavy, Accessible outside class, Skip class? You won't pass., Amazing lectures"
Simeon C Nichter,4.6/5,100%,3.1,"Amazing lectures, Graded by few things, Get ready to read, Respected, Clear grading criteria"
Ariel Katharine,5/5,100%,2,"Get ready to read, Caring, Respected"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Jorge Cortes,4.1/5,67%,3,"Get ready to read, Amazing lectures, Lots of homework, Caring, Accessible outside class"
Clifford Paul Kubiak,3.9/5,100%,3.9,"Respected, Inspirational, Amazing lectures, Hilarious, Tough grader"
Guy Bertrand,5/5,96%,2.8,"Graded by few things, Skip class? You won't pass., Respected, Test heavy, Amazing lectures"
Mark C Guirguis,4/5,60%,2.6,"Lots of homework, Would take again, Tough grader, Participation matters, Tests? Not many"
Taylor Jackson Scott,4.8/5,96%,2.1,"Amazing lectures, Get ready to read, Hilarious, Clear grading criteria, Respected"
Herbert S Newhouse,3.5/5,52%,3.3,"Graded by few things, Test heavy, Tough grader, Clear grading criteria, Lecture heavy"
Marisol Cuong,N/A,N/A,N/A,
Jonathan Shurin,2.7/5,37%,3.6,"Lecture heavy, Tough grader, Get ready to read, Skip class? You won't pass., Test heavy"
Pengtao Xie,4/5,75%,3,"Respected, Gives good feedback, Lecture heavy, EXTRA CREDIT, Group projects"
Alexander Cloninger,4.4/5,92%,3.6,"Accessible outside class, Clear grading criteria, Caring, Amazing lectures, Lots of homework"
Rachel Fox,4.4/5,94%,2.8,"Clear grading criteria, Get ready to read, Gives good feedback, Caring, Accessible outside class"
Wilfrido D Terrazas Perez,5/5,100%,1.4,"Caring, Inspirational, Respected, Amazing lectures, Clear grading criteria"
Dylan Obrien,5/5,100%,2.4,"Gives good feedback, Caring, Respected, Group projects, Clear grading criteria"
David S Gillett,3.5/5,N/A,1,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Mingming Liu,4.8/5,N/A,1.3,None
Jelena Bradic,3/5,48%,4.1,"Participation matters, Accessible outside class, Tough grader, Get ready to read, Group projects"
Helen Shan Wang,3.1/5,50%,3.5,"Tough grader, Lots of homework, Lecture heavy, EXTRA CREDIT, Clear grading criteria"
Katherine Lynn Petrie,4.9/5,100%,3,"Participation matters, Amazing lectures, Caring, Accessible outside class, Clear grading criteria"
Marc Muendler,3.8/5,91%,3.8,"Lecture heavy, Amazing lectures, Test heavy, Tough grader, Skip class? You won't pass."
Lisa Lampert-Weissig,3.7/5,50%,3.1,"Get ready to read, Skip class? You won't pass., EXTRA CREDIT, Beware of pop quizzes"
Dana Kay Nelkin,3.3/5,60%,3.4,"Get ready to read, Participation matters, Skip class? You won't pass., Gives good feedback, Lecture heavy"
Christopher O Sims,4.9/5,100%,2.4,"Accessible outside class, Caring, Gives good feedback, Inspirational, Participation matters"
Stephanie Isabel Alfonso,2/5,24%,4,"Test heavy, Lecture heavy, Graded by few things, Tough grader, Skip class? You won't pass."
Li-Tien Cheng,3.9/5,20%,2.9,"Tough grader, Skip class? You won't pass., Lecture heavy, Test heavy, Lots of homework"
Oliver Schmidt,3.3/5,50%,4.4,"Tough grader, Test heavy, Skip class? You won't pass., EXTRA CREDIT, Amazing lectures"
Alexander Niema Moshiri,3.6/5,70%,3.1,"Amazing lectures, Caring, Accessible outside class, Get ready to read, Inspirational"
Carson Grant Miller,2.5/5,0%,4,"Get ready to read, Group projects, Test heavy"
Ruby Osoria,5/5,100%,2.1,"Caring, Participation matters, Amazing lectures, Gives good feedback, Graded by few things"
Tenio Popmintchev,5/5,93%,4,"EXTRA CREDIT, Lots of homework, Participation matters, Caring, Respected"
Juli Beth Hinds,3/5,100%,4.4,"Get ready to read, Tough grader, EXTRA CREDIT, Lecture heavy, Graded by few things"
Amy Adler,4.9/5,100%,3,"Gives good feedback, Inspirational, Caring"
John E Crowell,3.3/5,39%,3,"Lecture heavy, Get ready to read, Lots of homework, Tough grader, Caring"
David Lee Fisk,4.5/5,90%,2.9,"Get ready to read, Graded by few things, Amazing lectures, Respected, Inspirational"
Leslie J. Carver,3.6/5,N/A,2.6,"Caring, Respected, Participation matters, Would take again, Gives good feedback"
Carl Hoeger,3.8/5,54%,3.8,"Tough grader, Lots of homework, Skip class? You won't pass., Test heavy, Respected"
Rose Dwyer,4.8/5,N/A,1.9,None
Kamil Godula,4.6/5,86%,2.6,"EXTRA CREDIT, Lecture heavy, Skip class? You won't pass., Amazing lectures, Gives good feedback"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Dong-Er Zhang,3.8/5,0%,3,"Tough grader, EXTRA CREDIT, Clear grading criteria, Lecture heavy, Graded by few things"
Julia Kathryn Sloane,4.1/5,N/A,4,None
Patricia Rebecca Wells,4.6/5,100%,2.3,"Caring, Gives good feedback, Hilarious, Participation matters, Skip class? You won't pass."
Shannon Molly Welch,4.3/5,N/A,2.3,"Get ready to read, Participation matters, Would take again, Respected, Inspirational"
Chunhui Du,4/5,100%,3,"Clear grading criteria, EXTRA CREDIT, Gives good feedback, Caring, Accessible outside class"
Earlence T Fernandes,3.2/5,60%,3.4,"Hilarious, Participation matters, Tough grader, Skip class? You won't pass., Amazing lectures"
Milton H. Saier,3.7/5,67%,2.2,"Caring, Skip class? You won't pass., EXTRA CREDIT, Hilarious, Tough grader"
Thomas Joseph Kuret,4.6/5,90%,3.3,"Get ready to read, Respected, Inspirational, Hilarious, Participation matters"
Cristian D. Popescu,4.3/5,100%,3.7,"Amazing lectures, Would take again, Inspirational, Caring, Respected"
David A. Meyer,3.9/5,17%,4.1,"Tough grader, EXTRA CREDIT, Lots of homework, Test heavy, Skip class? You won't pass."
Dean Erdmann,4.8/5,N/A,3.2,None
Maxim Sinitsyn,3.8/5,70%,4,"Skip class? You won't pass., Tough grader, Test heavy, Graded by few things, Amazing lectures"
Zhuosong Zhang,3.2/5,N/A,3,None
Craig Adam Callender,3.5/5,0%,2.8,"Get ready to read, So many papers, Respected"
James D. Hollan,3.3/5,67%,3.5,"Group projects, Beware of pop quizzes, Lecture heavy, Tough grader, Get ready to read"
Jeff M Hasty,N/A,N/A,N/A,
Yimin Zou,3/5,20%,2.6,"Tough grader, Get ready to read, Skip class? You won't pass., Amazing lectures, Inspirational"
Allan Havis,4.6/5,84%,2,"Skip class? You won't pass., Hilarious, Respected, Amazing lectures, Clear grading criteria"
Christina Schopp Devereux,5/5,100%,2,"Participation matters, Inspirational, Caring"
Tricia Meghan Gallagher-Geurtsen,4.8/5,86%,2.3,"Group projects, Amazing lectures, Gives good feedback, Lots of homework, Caring"
Christine Renee Harris,3.6/5,64%,3.3,"Lecture heavy, Graded by few things, Amazing lectures, Tough grader, Respected"
Christian Samuel Moore,N/A,N/A,N/A,
Sarah E. Nicolazzo,4.2/5,72%,2.7,"Caring, Gives good feedback, Beware of pop quizzes, Get ready to read, Participation matters"
Bradley T. Werner,4/5,100%,2.3,"Caring, Group projects, Graded by few things, Participation matters, EXTRA CREDIT"
Goran Bozinovic,3.9/5,63%,3.9,"Tough grader, Skip class? You won't pass., EXTRA CREDIT, Inspirational, Respected"
Amalia Pinkusfeld Bastos,2.9/5,N/A,3,None
Gourisankar Ghosh,2.1/5,40%,3.3,"Graded by few things, Participation matters, Get ready to read, Skip class? You won't pass., So many papers"
Grant Maurstad Leuning,4/5,50%,4.5,"Skip class? You won't pass., So many papers, Gives good feedback, Graded by few things"
Titan Michael Alon,3.8/5,78%,3.4,"Test heavy, Graded by few things, Tough grader, Get ready to read, Amazing lectures"
Judith Ellen Fan,4.4/5,100%,3.4,"Group projects, Lots of homework, Accessible outside class, Get ready to read, Skip class? You won't pass."
Zachary Adams,4.8/5,89%,2.6,"Caring, Hilarious, Get ready to read, Amazing lectures, Gives good feedback"
Qiang Zhu,4.1/5,84%,2,"Respected, Graded by few things, Accessible outside class, Get ready to read, Participation matters"
Zhaowei Liu,3.3/5,34%,2.8,"Test heavy, Amazing lectures, Respected"
Steven James Swanson,3.4/5,75%,3.5,"Lots of homework, Participation matters, Skip class? You won't pass., Group projects, Hilarious"
Chia-Ming Uang,4.7/5,100%,3.2,"Amazing lectures, Respected, Lots of homework, Caring, Group projects"
Daniele Micciancio,3/5,67%,4.6,"Lots of homework, Tough grader, Test heavy, Get ready to read, Skip class? You won't pass."
Tony L.,2.5/5,34%,2.9,"Tough grader, Skip class? You won't pass., Test heavy, Gives good feedback, Caring"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Ashley Juavinett,4.7/5,100%,3.3,"Clear grading criteria, Accessible outside class, Group projects, Gives good feedback, Lots of homework"
Andrew Scott Kehler,5/5,96%,2.9,"Amazing lectures, Hilarious, Caring, Clear grading criteria, Graded by few things"
Malik Julian,4/5,64%,3,"Clear grading criteria, Group projects, Respected, Amazing lectures, Gives good feedback"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Arman Chaghooshi,N/A,N/A,N/A,
Matthew Aaron Hall,4.5/5,N/A,2,None
Marisa Abrajano,3/5,25%,2.8,"Skip class? You won't pass., Beware of pop quizzes, Graded by few things, Tough grader, Get ready to read"
David T,1.8/5,0%,5,"Participation matters, Tough grader, Lots of homework, Test heavy, Get ready to read"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Colleen A McHugh,N/A,N/A,N/A,
Bhaskar D. Rao,2.5/5,60%,5,"Tough grader, Lots of homework, Caring, Respected, Lecture heavy"
Thad Kousser,4.8/5,100%,2.6,"Would take again, Respected, Skip class? You won't pass., Clear grading criteria, Tough grader"
Cassidy Sebastian,3.1/5,100%,2.8,"Amazing lectures, Tests? Not many, Graded by few things, Tough grader, Get ready to read"
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Paul K L Yu,3.5/5,N/A,1,"Skip class? You won't pass., Respected, Lecture heavy"
Nicholas Craig,4.8/5,N/A,2.5,None
CHECK INFO,CHECK INFO,CHECK INFO,CHECK INFO,
Amelia Glaser,4.3/5,56%,2.5,"Get ready to read, Participation matters, Group projects, So many papers, Caring"
